rxn_id,ligand,solvent,precursor,base,co_solvent,ligand_PC1,ligand_PC2,ligand_PC3,ligand_PC4,ligand_PC5,ligand_PC6,ligand_PC7,ligand_PC8,ligand_PC9,ligand_PC10,ligand_PC11,ligand_PC12,ligand_PC13,ligand_PC14,ligand_PC15,ligand_PC16,ligand_PC17,ligand_PC18,ligand_PC19,ligand_PC20,ligand_PC21,ligand_PC22,ligand_PC23,ligand_PC24,ligand_PC25,F1,F2,F3,F4,[Pd(OAc)2],[Pd(allyl)Cl]2,[Pd2(dba)3],Cs2CO3,K2CO3,K3PO4,KOH,KOMe,KOtBu,KOAc,KF,DIPEA,DBU,none,H2O,AP yield,AP selectivity
49372,NPCy2-Andolephos,2-MeTHF,[Pd2(dba)3],KOAc,none,0.4123898988064035,0.3144558827656036,0.2019296245752816,0.4425137904957568,0.7665260551203694,0.4843563116527414,0.436342794872858,0.4425539284424258,0.5049426135057171,0.0480386083279359,0.264716094821453,0.5123334153743919,0.9950551473247063,0.5351642357432242,0.5611820076306159,0.3295720562119388,0.3055349487259665,0.7478953408611344,0.5515457260217487,0.2770321299453687,0.418493186965724,0.090729693421905,0.3741422957559894,0.4032028750904733,0.6702159623659952,0.5158730158730158,0.0,0.8656716417910446,0.368421052631579,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25898,AdBrettPhos,PhOMe,[Pd(allyl)Cl]2,DBU,none,0.2964109767077574,0.7348674958495808,0.2920170127664866,0.7772229069330778,0.3767566994850106,0.1767719148040816,0.2547858640990157,0.4274497360868374,0.3387914774801712,0.1300966335442901,0.4833182901277977,0.6009555908893567,0.4765052134606113,0.2205688244324593,0.5400442104794926,0.9600346368338636,0.530052804246769,0.1605214697937831,0.3453922866925637,0.5120766993606458,0.3544897040002616,0.542021208603173,0.4539510729766396,0.5917085142652678,0.37172094280052,0.8095238095238095,0.6630434782608696,0.6716417910447761,0.1842105263157895,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
52185,PtBuPh2,CPME,[Pd2(dba)3],K3PO4,H2O,0.7310802393087108,0.4746730399534514,0.4682130207711116,0.499890653895595,0.3550337558930935,0.4062557720921537,0.3259741863508016,0.5269178663300533,0.2514753410896681,0.4811988359100475,0.4166049189603216,0.343231196478989,0.5668516967907777,0.0802765010977005,0.5744585926133379,0.1906788574556628,0.5769748793738072,0.6443450755263235,0.173375463828361,0.6890271411645246,0.4133054889741712,0.7051243786956736,0.4584450510134475,0.4276792947729338,0.3014718789055475,0.6507936507936507,0.1521739130434783,0.880597014925373,0.631578947368421,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15271,Mor-Dalphos,iPrOH,[Pd(allyl)Cl]2,KOtBu,H2O,0.4930242158539854,0.5883997451281309,0.2475208748255444,0.6611678926932537,0.4699200550275615,0.1642612320669724,0.1769468367235574,0.4124770238413771,0.3791882651433228,0.3816317652683131,0.5053266694827107,0.5412575545554004,0.5136270280991551,0.0966118892066708,0.2689990025166454,0.2952878335396871,0.450469845768422,0.0812779681948843,0.2962932268755542,0.4318408316913131,0.406160381726171,0.0940789559315525,0.3512312644362791,0.328345302907216,0.1581244900236049,0.238095238095238,0.7717391304347827,0.9552238805970148,0.7105263157894737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54526,PAd2Cy,EtOAc,[Pd2(dba)3],KOH,none,0.6589342154633077,0.5879857079086505,0.2915610816944602,0.8572495740037867,0.3911974643493792,0.1635375388417068,0.4068731870164297,0.2926595593709247,0.2919921257805599,0.4404075821626164,0.2753316547795515,0.5427426354571827,0.4669544547991792,0.4922878944882795,0.4694488340126161,0.457516217087575,0.6771536675657902,0.3516972532587648,0.447993724567061,0.3630983420916258,0.3506790706328769,0.330433905128777,0.5322213207692685,0.5902769979537668,0.3736829644267931,0.5793650793650793,0.3695652173913044,0.6343283582089552,0.131578947368421,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02824606838,0.0
23183,BippyPhos,iPrOH,[Pd(allyl)Cl]2,K2CO3,H2O,0.410372698017019,0.9050334492575084,0.4927657445766348,0.0878301650958855,0.4205290933455904,0.3956431703417854,0.3106179511590174,0.2666625970927166,0.4621666818010258,0.6483569094654509,0.2344533817812816,0.455507744917236,0.2932839947788609,0.2203616045195843,0.4456694674284986,0.5331894043388772,0.1995577993690206,0.4064768355466097,0.4912905819665014,0.7112595028946282,0.8010815116230303,0.4079019702693211,0.3945049065870686,0.4227316981158023,0.6183519523872782,0.238095238095238,0.7717391304347827,0.9552238805970148,0.7105263157894737,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3335827496,0.4427969805
13960,X-PHOS,iPr2O,[Pd2(dba)3],Cs2CO3,none,0.3938429915312159,0.3194064915333237,0.048684543965179,0.5308390797877277,0.3214999548515468,0.1269831384769174,0.6237681673242637,0.4346817152549032,0.4567525770063841,0.4248285375933835,0.4906304634824323,0.3577495079991386,0.3825087629220741,0.2949885482327021,0.7256581861138889,0.6270743362215911,0.4335860544158087,0.4816997137425525,0.6184897558999445,0.6300583548897949,0.1805074074736107,0.5587361548768991,0.3748213047739966,0.2847707709584357,0.3735147412416579,0.5634920634920635,0.0217391304347827,0.925373134328358,0.736842105263158,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2193270639,0.4895649956
48905,Amidolephos,PhOMe,[Pd(OAc)2],K3PO4,H2O,0.4106214029552091,0.2414255686199043,0.1925446265581931,0.3606371539112386,0.3651733534776363,0.2421994233237753,0.3980674847368706,0.365674575160992,0.3658044946181882,0.3011811774215425,0.3577445582176181,0.2564769288147435,0.4068424888575323,0.6139600502246289,0.0698014578196635,0.3454102092680242,0.1805369976137628,0.3150039325557742,0.3929034974021382,0.7203499599782867,0.418179297192809,0.0675898201330792,0.5559521933002246,0.5590438690493238,0.2116906648379948,0.8095238095238095,0.6630434782608696,0.6716417910447761,0.1842105263157895,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18671,SPhos,PhOMe,[Pd(OAc)2],KOtBu,H2O,0.4783621573795492,0.3142746580678319,0.1315265560361117,0.4776612919273699,0.4210126197989566,0.1504103289264762,0.3027189502462646,0.3293847208834542,0.3962342091110236,0.369719867693067,0.4479455063438114,0.3684384243470125,0.3484850646543783,0.3392158050281468,0.6231456741532501,0.3583726878240653,0.6117427079890532,0.4574351704744361,0.2430235724238922,0.4127908028972246,0.3720823266263499,0.3463104394777817,0.4338639761444586,0.4068820912386384,1.0,0.8095238095238095,0.6630434782608696,0.6716417910447761,0.1842105263157895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1742,P(tBu)3,CPME,[Pd(OAc)2],K2CO3,none,0.845118092316133,0.6954291767051386,0.2164457427847239,0.7612265224774846,0.3893142823739482,0.3932841349143264,0.1367678749079147,0.5831698717451903,0.4416237734553306,0.5327768944071207,0.2794691503813316,0.5585465237219929,0.3426392701178857,0.7071269057424039,0.1321019264844533,0.5405047576006363,0.5425622584924259,1.0,0.5542013209635828,0.2991218852845632,0.5352284035656498,0.3452585992117621,0.5448530622074979,0.5902108567134655,0.1768697302616318,0.6507936507936507,0.1521739130434783,0.880597014925373,0.631578947368421,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02514318358,0.0
