rxn_id,ligand,solvent,precursor,base,co_solvent,ligand_PC1,ligand_PC2,ligand_PC3,ligand_PC4,ligand_PC5,ligand_PC6,ligand_PC7,ligand_PC8,ligand_PC9,ligand_PC10,ligand_PC11,ligand_PC12,ligand_PC13,ligand_PC14,ligand_PC15,ligand_PC16,ligand_PC17,ligand_PC18,ligand_PC19,ligand_PC20,ligand_PC21,ligand_PC22,ligand_PC23,ligand_PC24,ligand_PC25,F1,F2,F3,F4,[Pd(OAc)2],[Pd(allyl)Cl]2,[Pd2(dba)3],Cs2CO3,K2CO3,K3PO4,KOH,KOMe,KOtBu,KOAc,KF,DIPEA,DBU,none,H2O
50975,pta,MeCN,[Pd(allyl)Cl]2,KF,H2O,0.9999999999999998,0.0,0.3274805785092604,0.2322817842270105,0.003966975552736,0.6539424467884349,0.3940238459905009,0.4130198782531141,1.0,0.1243798626719283,1.0,1.0,0.4751336074043896,0.5184604147075573,0.4717804589368666,0.4769328394085051,0.2138312221500259,0.0831830181712814,0.5163100429895383,0.5960801880583293,0.350835930355877,0.2724074634496106,0.5987571899617328,0.4293926199989573,0.5320491533725544,0.1111111111111111,0.8478260869565218,0.0,0.0789473684210526,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24355,CyBippyPhos,MeCN,[Pd2(dba)3],KF,H2O,0.269728792501744,0.2415057361138734,0.2888641913715659,0.2780602588205237,0.297520993686952,0.3929426124369914,0.3672816433681901,0.3371407993871411,0.2892652805773137,0.7046728410197745,0.2399673493914239,0.5976664680707573,0.3230074769596768,0.1059315244942861,0.3728925725427848,0.4165350799019681,0.1661397195760268,0.703718709335674,0.0,0.3574911019337002,0.7270969809733027,0.4094132373288918,0.1861617858559797,0.4248233553200546,0.4512332777805975,0.1111111111111111,0.8478260869565218,0.0,0.0789473684210526,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
48795,Amidolephos,MeCN,[Pd(OAc)2],KF,H2O,0.4106214029552091,0.2414255686199043,0.1925446265581931,0.3606371539112386,0.3651733534776363,0.2421994233237753,0.3980674847368706,0.365674575160992,0.3658044946181882,0.3011811774215425,0.3577445582176181,0.2564769288147435,0.4068424888575323,0.6139600502246289,0.0698014578196635,0.3454102092680242,0.1805369976137628,0.3150039325557742,0.3929034974021382,0.7203499599782867,0.418179297192809,0.0675898201330792,0.5559521933002246,0.5590438690493238,0.2116906648379948,0.1111111111111111,0.8478260869565218,0.0,0.0789473684210526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27195,DavePhos,MeCN,[Pd(OAc)2],KF,H2O,0.4640827177906246,0.2562558777709499,0.0228256841454017,0.4718055247461065,0.4457240772307381,0.1563214127196768,0.4140844791482488,0.3337299240731014,0.5160067515782262,0.4706251831190567,0.4792708767317449,0.3055376223035352,0.4929197338365295,0.2639725419473585,0.433931118591874,0.2017949935691438,0.3429308998111525,0.7082481725347015,0.9061940138873088,0.5199031643290176,0.2714233906026747,0.5527979342086846,0.2990043960206697,0.5661783337187344,0.2808308970129719,0.1111111111111111,0.8478260869565218,0.0,0.0789473684210526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50795,pta,2-MeTHF,[Pd(allyl)Cl]2,KF,H2O,0.9999999999999998,0.0,0.3274805785092604,0.2322817842270105,0.003966975552736,0.6539424467884349,0.3940238459905009,0.4130198782531141,1.0,0.1243798626719283,1.0,1.0,0.4751336074043896,0.5184604147075573,0.4717804589368666,0.4769328394085051,0.2138312221500259,0.0831830181712814,0.5163100429895383,0.5960801880583293,0.350835930355877,0.2724074634496106,0.5987571899617328,0.4293926199989573,0.5320491533725544,0.5158730158730158,0.0,0.8656716417910446,0.368421052631579,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1995,P(tBu)3,MeCN,[Pd(OAc)2],KF,H2O,0.845118092316133,0.6954291767051386,0.2164457427847239,0.7612265224774846,0.3893142823739482,0.3932841349143264,0.1367678749079147,0.5831698717451903,0.4416237734553306,0.5327768944071207,0.2794691503813316,0.5585465237219929,0.3426392701178857,0.7071269057424039,0.1321019264844533,0.5405047576006363,0.5425622584924259,1.0,0.5542013209635828,0.2991218852845632,0.5352284035656498,0.3452585992117621,0.5448530622074979,0.5902108567134655,0.1768697302616318,0.1111111111111111,0.8478260869565218,0.0,0.0789473684210526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34395,(1-Ad)3P,MeCN,[Pd(OAc)2],KF,H2O,0.6632368126387066,0.7073608899521188,0.4023663559638579,1.0,0.3841815506320141,0.1174057350256812,0.3494839189587231,0.3079386162026496,0.3081839176817006,0.4946409377928794,0.3301306019220092,0.7249666870077811,0.5950415050521016,0.4444106903592004,0.1977604749958098,0.575176014848779,0.7500822713273355,0.5726469378747598,0.4883552592831626,0.5936916822382534,0.6774172051781757,0.3218124097484522,0.7313478573639054,0.6124107124832339,0.3125841781472038,0.1111111111111111,0.8478260869565218,0.0,0.0789473684210526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4175,cataCXium ABn,MeCN,[Pd(allyl)Cl]2,KF,H2O,0.6351142784210414,0.5332107728576889,0.2146113087114689,0.5958268253609998,0.3623578160535662,0.2536536634489373,0.4668120724822911,0.4530286065345598,0.1557081112940919,0.3355068061202007,0.287251226748453,0.3455183662378049,0.4502914840848036,0.4828435181608799,0.8101509922151855,0.4460402340059616,0.5624194355490052,0.0,0.2328987372581158,0.5641004597998689,0.793376449569138,0.6708037920470755,0.4347187923293972,0.2820705286316932,0.4769268264473919,0.1111111111111111,0.8478260869565218,0.0,0.0789473684210526,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37315,MePhos,MeCN,[Pd2(dba)3],KF,H2O,0.5193106752152821,0.2991856985634203,0.0438046205154287,0.5322542030645798,0.3996081395609276,0.1577707172977344,0.4768387853854686,0.4223155636929277,0.5551601321293554,0.5386323708391348,0.4005162033900699,0.248757454311012,0.488125308598012,0.2558662262531925,0.5501402589778461,0.2187340289099096,0.166792831956159,0.3749247721384537,0.3781003437930169,0.6283764427969084,0.137142192250801,0.4384155174470793,0.6351128154282375,0.7680445130044189,0.1026401434333851,0.1111111111111111,0.8478260869565218,0.0,0.0789473684210526,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12295,CyJohnPhos,MeOH,[Pd2(dba)3],KF,H2O,0.5262062787258298,0.2783043685453386,0.059320273737275,0.4972814563156038,0.4297632114807968,0.1562471305495105,0.4163163559781128,0.4435227674519836,0.5011331354154307,0.4875012978888415,0.3260702614147499,0.2695142055594818,0.4717405025471535,0.174659065555688,0.49342038463344,0.315474612460064,0.256223543184955,0.1659514476048087,0.1849877956247703,0.4866368082187048,0.3695168268081666,0.4552057027547654,0.687698743496839,0.5906475980898079,0.322668729975881,0.0,1.0000000000000002,0.7761194029850745,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
