rxn_id,ligand,solvent,precursor,base,co_solvent
50520,pta,iPrOH,[Pd(OAc)2],Cs2CO3,none
41559,cataCXium PiPr,EtOAc,[Pd(allyl)Cl]2,DBU,H2O
52069,PtBuPh2,tAmOH,[Pd2(dba)3],KOMe,H2O
16316,Me4tBuXPhos,MEK,[Pd2(dba)3],DIPEA,none
52365,PtBuPh2,EtOAc,[Pd2(dba)3],K3PO4,H2O
19527,tBuBrettPhos,EtOH,[Pd(allyl)Cl]2,KOH,H2O
24950,RuPhos,MEK,[Pd2(dba)3],KOtBu,none
54628,PAd2Cy,PhMe,[Pd(allyl)Cl]2,KOMe,none
54527,PAd2Cy,EtOAc,[Pd2(dba)3],KOH,H2O
26544,CyPPh2,PhMe,[Pd(allyl)Cl]2,K3PO4,none
37155,MePhos,MEK,[Pd(OAc)2],KF,H2O
23252,BippyPhos,tAmOH,[Pd(allyl)Cl]2,KOAc,none
